l1,leaf_id,leaf_name,total_all,DE,US,note
Automobiles & Motorcycles,11B12208-A434-467B-8AD3-DC65E32EC2E5,Lighting,162,0,4,Too Many Requests  QPS limit is 1 time/1second
Automobiles & Motorcycles,9EB55782-830D-41A5-B29C-B5A13520923E,Body & Frame,93,4,2,Too Many Requests  QPS limit is 1 time/1second
"Health, Beauty & Hair",1B1A9B82-1833-4721-88CA-86F5F542D7A5,Nail Glitters,,0,21,Too Many Requests  QPS limit is 1 time/1second
"Health, Beauty & Hair",2409190611101616600,Health Care Products,3107,1,256,
"Health, Beauty & Hair",B6A8B971-793B-4F9E-AA56-3A5D12F63827,Sun Care,115,0,,Too Many Requests  QPS limit is 1 time/1second
"Health, Beauty & Hair",9A3105F2-AFFD-42FC-8A52-D0FB4ACDCB63,Hair Styling,57,0,2,Too Many Requests  QPS limit is 1 time/1second
"Health, Beauty & Hair",A30E8F55-DC2C-4842-9372-91B96DEFDCC2,Makeup Brushes,997,1,18,Too Many Requests  QPS limit is 1 time/1second
"Health, Beauty & Hair",93B5702F-DEF0-443D-847B-9287DEDF5BD9,Human Hair Lace Wigs,52,3,,Too Many Requests  QPS limit is 1 time/1second
"Toys, Kids & Babies",6614840A-DB50-4FBB-80FD-705F4FD59BFA,Electronic Pets,284,0,3,Too Many Requests  QPS limit is 1 time/1second
"Toys, Kids & Babies",5AF1783E-547C-44E5-AD8A-82B354860BCB,Boys Shoes,616,0,1,Too Many Requests  QPS limit is 1 time/1second
"Toys, Kids & Babies",8DA1BB63-9FC2-4817-9271-3474CDBDDB30,Boy T-Shirts,577,0,0,
"Toys, Kids & Babies",80304DEB-99FB-4E29-9065-A99F732702C4,Baby Rompers,2106,0,9,
"Toys, Kids & Babies",4065FFF7-4AAA-4CFA-B04B-639C93624469,Activity & Gear,342,2,12,Too Many Requests  QPS limit is 1 time/1second
"Toys, Kids & Babies",5795C34B-0DF0-4838-A78C-C125AA3BED18,Family Matching Outfits,183,0,0,Too Many Requests  QPS limit is 1 time/1second
Men's Clothing,0222F963-84BC-4ED8-87A0-2EE6B7890B53,Men's Sleep & Lounge,195,,1,Too Many Requests  QPS limit is 1 time/1second
Men's Clothing,007F26BA-B50A-4ADA-BD36-2CD341411230,Suits & Blazer,11782,0,31,Too Many Requests  QPS limit is 1 time/1second
Men's Clothing,976399B4-534B-46F0-B18A-62075824A717,Man Hoodies & Sweatshirts,13482,0,,Too Many Requests  QPS limit is 1 time/1second
Men's Clothing,44A3ADE0-A8EC-4101-A8DE-DF42F56EF3F1,Man Gloves & Mittens,1173,0,4,Too Many Requests  QPS limit is 1 time/1second
Men's Clothing,911754C0-443D-4ECF-9083-DF04C907BD81,Man Jeans,,0,148,Too Many Requests  QPS limit is 1 time/1second
Men's Clothing,655B8008-6BB9-4AA1-8025-6206ACFF018A,Solid,8014,0,51,
Women's Clothing,0DC4DF6F-4EC5-47DF-B20D-863ADF69319F,Scarves & Wraps,4907,1,214,Too Many Requests  QPS limit is 1 time/1second
Women's Clothing,F72DD534-E394-4958-B591-149C488648D7,Woman Hats & Caps,,2,245,Too Many Requests  QPS limit is 1 time/1second
Women's Clothing,1357251872037146624,Ladies Short Sleeve,16,0,0,Too Many Requests  QPS limit is 1 time/1second
Women's Clothing,7B69E34F-43A3-4143-A22D-30786EE97998,Jumpsuits,2484,,52,Too Many Requests  QPS limit is 1 time/1second
Women's Clothing,63584B9B-5275-4268-8BEA-7D3C7A7BB925,Woman Jeans,,0,230,Too Many Requests  QPS limit is 1 time/1second
Women's Clothing,441DA450-5E5F-41DF-8911-3BAE883C30E8,Woman Trench,2505,0,72,Too Many Requests  QPS limit is 1 time/1second
